review_id,date,time,rating,title,content,author,user_id,country,lang_detect,app_version,store,created,updated,is_deleted,was_changed,has_answer,answer_text,answer_date,answer_time,thumbs_up_cnt,thumbs_down_cnt,internal_id
6941984165,2021-02-01,21:57:18,5,Great,I’m really glad I found this app. It helped me so much today and I’m using it for like less than a hour. I’ve not self harmed for like a month and this app helped me to get today through. Thank you.,juulssy,989831755,nl,en,5.8.3,as,2023-01-26 12:39:53,2023-01-26 12:39:53,0,0,0,,,,0,0,155781246
6941745764,2021-02-01,12:25:44,4,4 stars,I love this as it’s just somewhere u can be safe.Bit it asks too many questions,_a.random.child_,1064731430,gb,en,5.8.3,as,2023-01-26 12:22:53,2023-01-26 12:22:53,0,0,0,,,,0,0,155674853
6941230983,2021-02-01,09:26:56,5,Therapy,"This app helped make me feel better in a short amount of time and turned my negative thoughts into positives , I can’t wait for the future for when I’m finally genuinely a happy person who impacts others in a positive way",Cee Cee xo,586644044,gb,en,5.8.3,as,2023-01-26 12:22:53,2023-01-26 12:22:53,0,0,0,,,,0,0,155674852
6940363440,2021-02-01,05:14:18,5,Amazing,"This app has helped me so much with my anxiety! If you struggle with it like this you should defo try it
Xx",millie1788990,1114446425,gb,en,5.8.3,as,2023-01-26 12:22:54,2023-01-26 12:22:54,0,0,0,,,,0,0,155674950
6936924552,2021-01-31,08:27:18,5,Great help with anxiety,it actually calms me down and make me think differently of the situation i had in my head for a quite time. i’m glad i installed it.,a2mic jai,1112277034,ph,en,5.8.3,as,2023-01-26 12:39:54,2023-01-26 12:39:54,0,0,0,,,,0,0,155781392
6936753729,2021-01-31,07:34:47,4,Amazing,It helped me deal with my depression and anxiety issues really good,Oddest1out,138973428,au,en,5.8.3,as,2023-01-26 12:22:52,2023-01-26 12:22:52,0,0,0,,,,0,0,155674759
6934924520,2021-01-31,04:48:28,5,Helpful,Daud I’m lost or in slumber.  This app helps me find my focus and get me back into actions rather than overthinking,dr.sac,1080529878,in,en,5.8.3,as,2023-01-26 12:39:53,2023-01-26 12:39:53,0,0,0,,,,0,0,155781135
6935754947,2021-01-31,02:17:07,5,Skeptical,"I was in da mindset dat no one or nothing could help me, but this little pingu has become my best friend 😂 he helps me plan my day, be positive, I stay active!! If you’re wondering or wanting to give it a go DO IT!!! It’s always on your terms + isn’t too confusing. Thank you for making something for people likes me; constant anxiety + bad at being social. You’ve changed a lot in my life already.",Smiileerr,164863354,gb,en,5.8.3,as,2023-01-26 12:22:54,2023-01-26 12:22:54,0,0,0,,,,0,0,155674949
6935410713,2021-01-31,00:08:52,5,My review,For an AI this service is quite beneficial to my mental health,nico777778888064,1042886232,ca,en,5.8.3,as,2023-01-26 12:22:51,2023-01-26 12:22:51,0,0,0,,,,0,0,155674403
6928577317,2021-01-29,15:31:13,5,Thank You for Making this App,"it’s very helpful after i have used it for quite some time, it helps me to get distracted about my problems, I would recommend people to use Wysa when they feel anxious. I’m rooting for another great update in the future!✨",wuunbsuzj,1047633427,id,en,5.8.2,as,2023-01-26 12:39:53,2023-01-26 12:39:53,0,0,0,,,,0,0,155780918
